タイトル,タイトルURL,cz_displayspnone2,cz_sp_table_URL,cz_sp_table3,エリア
金沢広岡三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76111&pgret=2,石川県金沢市広岡３丁目３番４７号,tel:076-222-3350,24時間,石川県金沢市広岡３
わくなみや小橋店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05569&pgret=2,石川県金沢市小橋町４－２０,tel:076-252-1187,24時間　日曜のみ時短営業（日曜２３：００閉店、月曜６：００開店）,石川県金沢市小橋町
しばはら杜の里店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05583&pgret=2,石川県金沢市もりの里３－１０２,tel:076-262-1131,24時間,石川県金沢市もりの
窪四丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05746&pgret=2,石川県金沢市窪４－４４７,tel:076-243-1911,24時間,石川県金沢市窪４－
金沢利屋町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05863&pgret=2,石川県金沢市利屋町る７番地,tel:076-257-6613,24時間　日曜のみ時短営業（日曜２３：００閉店、月曜５：００開店）,石川県金沢市利屋町
金沢みどり団地口店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05950&pgret=2,石川県金沢市福増町北１０５３－２,tel:076-240-9112,24時間,石川県金沢市福増町
金沢新神田店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05953&pgret=2,石川県金沢市新神田４－５－３５,tel:076-291-8013,24時間,石川県金沢市新神田
金沢リファーレ店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=05988&pgret=2,石川県金沢市本町１－５－３,tel:076-263-3591,24時間,石川県金沢市本町１
金沢けやき通り店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76074&pgret=2,石川県金沢市駅西本町１丁目１５番１８号トリアス１Ｆ,tel:076-222-3620,24時間,石川県金沢市駅西本
金沢千木町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76091&pgret=2,石川県金沢市千木町ル５５,tel:076-257-0177,24時間,石川県金沢市千木町
金沢増泉三丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76097&pgret=2,石川県金沢市増泉３丁目１５番１９号,tel:076-241-2127,24時間,石川県金沢市増泉３
金沢上堤町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76164&pgret=2,石川県金沢市上堤町１－１５ＪＲＥ金沢上堤町ビル１Ｆ,tel:076-233-1280,24時間,石川県金沢市上堤町
金沢八田町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76173&pgret=2,石川県金沢市八田町東８９６番地１,tel:076-257-1820,24時間,石川県金沢市八田町
金沢松村店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76249&pgret=2,石川県金沢市松村３－５４３,tel:076-266-2306,24時間,石川県金沢市松村３
金沢野田店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76260&pgret=2,石川県金沢市野田二丁目１４番地,tel:076-243-1033,24時間,石川県金沢市野田二
金沢石引店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76294&pgret=2,石川県金沢市石引一丁目１３番３２号,tel:076-210-5007,24時間,石川県金沢市石引一
金沢涌波店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76299&pgret=2,石川県金沢市涌波１丁目６番２７号,tel:076-210-7035,24時間,石川県金沢市涌波１
金沢本町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76306&pgret=2,石川県金沢市本町２丁目２０番２８号,tel:076-210-3277,24時間,石川県金沢市本町２
金沢橋場町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76344&pgret=2,石川県金沢市橋場町１番３号,tel:076-264-8730,24時間,石川県金沢市橋場町
金沢大桑店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30137&pgret=2,石川県金沢市大桑二丁目４２番地,tel:076-201-4567,24時間,石川県金沢市大桑二
金沢田上店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30264&pgret=2,石川県金沢市田上の里２丁目１０５番地,tel:076-233-5250,24時間,石川県金沢市田上の
金沢彦三店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30126&pgret=2,石川県金沢市彦三町二丁目２番１４号,tel:076-231-1055,24時間,石川県金沢市彦三町
金沢西念二丁目店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30257&pgret=2,石川県金沢市西念２丁目２７－１７,tel:076-224-4231,24時間,石川県金沢市西念２
堅田店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30228&pgret=2,石川県金沢市堅田町甲７５ー１,tel:076-257-7018,24時間,石川県金沢市堅田町
金沢桜田町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76374&pgret=2,石川県金沢市桜田町１－２１４,tel:076-262-0025,24時間,石川県金沢市桜田町
金沢上安原店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30112&pgret=2,石川県金沢市上安原南７９番地,tel:076-249-2621,24時間,石川県金沢市上安原
金沢百坂店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76377&pgret=2,石川県金沢市百坂町ニ２３番地１他２筆,tel:076-257-5704,24時間,石川県金沢市百坂町
金沢小立野店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30295&pgret=2,石川県金沢市小立野３丁目２７番２２号,tel:076-223-3931,24時間,石川県金沢市小立野
金沢専光寺浜店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30251&pgret=2,石川県金沢市専光寺町二２－１,tel:076-268-6261,24時間,石川県金沢市専光寺
金沢星稜前店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30262&pgret=2,石川県金沢市小坂町南５３８,tel:076-252-5224,24時間,石川県金沢市小坂町
金沢木材団地店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30133&pgret=2,石川県金沢市湊２丁目１１４番地２５,tel:076-208-2893,24時間,石川県金沢市湊２丁
東金沢駅前店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76389&pgret=2,石川県金沢市三池町１８９番１,tel:076-213-2022,24時間,石川県金沢市三池町
金沢高尾南店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76401&pgret=2,石川県金沢市高尾南三丁目６１番地,tel:076-296-8860,24時間,石川県金沢市高尾南
金沢東力店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76405&pgret=2,石川県金沢市東力２丁目１４８番地１,tel:076-291-2310,24時間,石川県金沢市東力２
金沢諸江通り店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30171&pgret=2,石川県金沢市北安江１丁目１４番１号,tel:076-210-5060,24時間,石川県金沢市北安江
金沢幸町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30288&pgret=2,石川県金沢市幸町１３番２８号,tel:076-224-4210,24時間,石川県金沢市幸町１
金沢元菊店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30101&pgret=2,石川県金沢市元菊町５番１号,tel:076-210-7015,24時間,石川県金沢市元菊町
金沢土清水町店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30085&pgret=2,石川県金沢市土清水二丁目１５番地,tel:076-229-8220,24時間,石川県金沢市土清水
金沢東大通り店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30248&pgret=2,石川県金沢市昌永町１７－８,tel:076-253-9449,24時間,石川県金沢市昌永町
金沢みなと店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30120&pgret=2,石川県金沢市大野町四丁目ヲ３１番地１,tel:076-268-2483,24時間,石川県金沢市大野町
金沢木越店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=30242&pgret=2,石川県金沢市千木町口９３－１,tel:076-257-3140,24時間　日曜のみ時短営業（日曜２４：００閉店、月曜５：００開店）,石川県金沢市千木町
金沢藤江北店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76439&pgret=2,石川県金沢市藤江北四丁目４８５番地,tel:076-266-5346,24時間,石川県金沢市藤江北
金沢金石東店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76445&pgret=2,石川県金沢市金石東３丁目２番５号,tel:076-266-1211,24時間,石川県金沢市金石東
金沢入江店,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&adr=17201&c2=1%2c2&bid=76455&pgret=2,石川県金沢市入江３丁目５４番地,tel:076-291-2011,24時間,石川県金沢市入江３
